
2023/11/06 (08:45:35) | ===> btop++ v.1.2.3
2023/11/06 (08:45:35) | ERROR: Stall in Runner thread, restarting!

2025/01/31 (14:26:03) | ===> btop++ v.1.3.0
2025/01/31 (14:26:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/31 (14:26:40) | ===> btop++ v.1.3.0
2025/01/31 (14:26:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/31 (14:27:28) | ===> btop++ v.1.3.0
2025/01/31 (14:27:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/31 (14:27:55) | ===> btop++ v.1.3.0
2025/01/31 (14:27:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/04 (16:46:59) | ===> btop++ v.1.3.0
2025/02/04 (16:46:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/10 (12:48:29) | ===> btop++ v.1.3.0
2025/02/10 (12:48:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/17 (14:13:04) | ===> btop++ v.1.3.0
2025/02/17 (14:13:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/17 (20:24:11) | ===> btop++ v.1.3.0
2025/02/17 (20:24:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/18 (10:43:37) | ===> btop++ v.1.3.0
2025/02/18 (10:43:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/21 (06:43:27) | ===> btop++ v.1.3.0
2025/02/21 (06:43:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/21 (09:12:26) | ===> btop++ v.1.3.0
2025/02/21 (09:12:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/25 (16:44:59) | ===> btop++ v.1.3.0
2025/02/25 (16:44:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/25 (16:46:17) | ===> btop++ v.1.3.0
2025/02/25 (16:46:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/28 (13:27:34) | ===> btop++ v.1.3.0
2025/02/28 (13:27:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/04 (13:06:09) | ===> btop++ v.1.3.0
2025/03/04 (13:06:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/04 (18:27:54) | ===> btop++ v.1.3.0
2025/03/04 (18:27:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/11 (17:32:19) | ===> btop++ v.1.3.0
2025/03/11 (17:32:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/13 (19:22:54) | ===> btop++ v.1.3.0
2025/03/13 (19:22:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/14 (18:13:19) | ===> btop++ v.1.3.0
2025/03/14 (18:13:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/01 (18:23:13) | ===> btop++ v.1.3.0
2025/04/01 (18:23:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/29 (13:34:49) | ===> btop++ v.1.3.0
2025/04/29 (13:34:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/07 (17:29:48) | ===> btop++ v.1.3.0
2025/05/07 (17:29:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/07 (19:29:50) | ===> btop++ v.1.3.0
2025/05/07 (19:29:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/08 (18:57:59) | ===> btop++ v.1.3.0
2025/05/08 (18:57:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/09 (13:14:58) | ===> btop++ v.1.3.0
2025/05/09 (13:14:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/09 (14:05:54) | ===> btop++ v.1.3.0
2025/05/09 (14:05:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/09 (14:41:48) | ===> btop++ v.1.3.0
2025/05/09 (14:41:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/09 (14:49:07) | ===> btop++ v.1.3.0
2025/05/09 (14:49:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/10 (14:52:50) | ===> btop++ v.1.3.0
2025/05/10 (14:52:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/10 (17:17:03) | ===> btop++ v.1.3.0
2025/05/10 (17:17:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/10 (17:17:19) | ===> btop++ v.1.3.0
2025/05/10 (17:17:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/10 (17:48:20) | ===> btop++ v.1.3.0
2025/05/10 (17:48:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/11 (16:09:14) | ===> btop++ v.1.3.0
2025/05/11 (16:09:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/14 (19:12:05) | ===> btop++ v.1.3.0
2025/05/14 (19:12:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/15 (14:05:32) | ===> btop++ v.1.3.0
2025/05/15 (14:05:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/16 (16:33:26) | ===> btop++ v.1.3.0
2025/05/16 (16:33:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/21 (15:12:42) | ===> btop++ v.1.3.0
2025/05/21 (15:12:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/31 (09:36:32) | ===> btop++ v.1.3.0
2025/05/31 (09:36:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/02 (13:18:05) | ===> btop++ v.1.3.0
2025/06/02 (13:18:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/06 (13:49:05) | ===> btop++ v.1.3.0
2025/06/06 (13:49:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/07/15 (15:33:08) | ===> btop++ v.1.3.0
2025/07/15 (15:33:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/07/23 (16:57:23) | ===> btop++ v.1.3.0
2025/07/23 (16:57:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/07 (07:17:39) | ===> btop++ v.1.3.0
2025/08/07 (07:17:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/07 (16:02:43) | ===> btop++ v.1.3.0
2025/08/07 (16:02:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/08 (12:36:55) | ===> btop++ v.1.3.0
2025/08/08 (12:36:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/08 (13:43:15) | ===> btop++ v.1.3.0
2025/08/08 (13:43:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/08 (14:59:18) | ===> btop++ v.1.3.0
2025/08/08 (14:59:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/12 (10:12:38) | ===> btop++ v.1.3.0
2025/08/12 (10:12:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
